Compliance_Breaches,Time_to_Compliance_Days,Training_Completion_Rate,Audit_Findings,Audit_Score,Fines_Penalties_Amount,Incident_Response_Time_Minutes,Suspicious_Activity_Reports,Regulatory_Change_Impact_Score,Department,Employee_ID,Location,Quarter,Year,Compliance_Manager,Training_Session_Attended,Audit_Type,Regulation_ID
,,93.84944155,14,,6827.572686,26,3,1.69190392,Finance,2248,LA,Q1,2020,Manager_C,Yes,Internal,127
7,157,60.43338123,,56.39029214,6505.934603,13,0,5.164374665,HR,1527,SF,Q2,2023,Manager_A,Yes,Internal,126
2,113,74.80149471,7,,2634.425557,24,1,7.362388268,IT,1723,CHI,Q2,2023,Manager_B,Yes,Internal,
11,211,,7,77.35195718,4994.148632,32,1,6.22687243,Operations,,CHI,Q4,2023,,No,External,
4,145,69.99293476,0,76.64428183,,40,1,5.454051466,Finance,1240,NY,Q3,2022,Manager_B,No,External,105
3,129,68.04034131,,51.77516844,2737.117451,,1,4.18566818,Finance,3661,ATL,Q2,2021,Manager_C,No,Internal,193
8,169,91.31796051,12,97.54205171,4546.733167,44,2,3.789767544,IT,4553,LA,,2022,,Yes,External,108
3,126,72.60695276,10,63.76878407,14710.75628,20,0,4.386575576,IT,3142,ATL,Q2,2021,Manager_B,Yes,,105
3,177,76.18471661,3,50.80923345,1071.499755,41,5,6.504714586,HR,1364,SF,Q4,2022,Manager_B,,External,128
5,158,99.12236785,6,53.82220045,11810.19459,33,2,2.509785603,IT,2208,NY,Q4,2020,Manager_B,No,External,186
8,149,52.99896361,11,79.00974516,274.6865445,23,1,7.942258747,IT,2159,,Q2,2020,Manager_B,Yes,External,169
3,149,74.39788199,12,56.88927603,1843.65964,27,3,6.177279161,Operations,1024,NY,Q1,2023,Manager_B,No,Internal,185
2,,88.70308535,11,52.08623964,1699.406946,22,3,3.422407399,Finance,2960,LA,Q1,2022,Manager_A,Yes,Internal,165
5,,57.55809791,15,68.98132332,4922.380913,30,4,5.510376665,IT,3365,SF,Q2,2021,,No,Internal,194
3,77,80.57657973,5,81.13805962,703.3552502,22,1,9.665008189,IT,3380,NY,Q4,2021,Manager_A,No,Internal,
8,232,,13,55.59199024,10700.10433,19,,,Operations,3961,NY,Q2,2020,Manager_C,Yes,Internal,169
10,210,93.37020566,18,65.66639161,8817.359076,34,2,2.795703768,IT,,NY,Q3,2023,Manager_A,Yes,External,
3,207,66.35498327,15,70.88803358,5278.709771,36,1,5.035422159,,1680,CHI,Q4,2021,Manager_C,No,External,119
2,233,66.45314085,3,57.97300489,3066.265482,28,3,,Finance,4873,SF,Q1,2022,Manager_C,No,External,111
,180,79.90969393,,75.30369492,13512.03394,43,6,2.910054397,Finance,3147,CHI,,2023,Manager_A,Yes,External,107
7,217,59.17814541,,54.26070435,8881.790056,27,4,9.382635535,Operations,3417,NY,Q2,2022,,Yes,Internal,157
6,152,64.24443195,2,52.32592482,,26,,6.783148112,Operations,,CHI,,2022,Manager_C,Yes,Internal,148
6,230,70.83159251,9,75.99176836,6051.184489,36,,8.896887541,,2035,CHI,Q4,2020,Manager_B,Yes,Internal,163
2,193,67.68189316,16,62.39484864,4184.278954,28,3,3.963861372,Finance,1719,LA,Q1,,Manager_C,No,External,149
4,,76.2438609,,54.76869039,,30,2,8.460585409,Operations,,ATL,Q2,2019,Manager_B,Yes,Internal,196
9,242,79.9820072,9,71.19562937,2009.677244,4,2,4.403972952,HR,1586,ATL,Q2,2023,Manager_C,No,Internal,138
,172,78.33337269,11,95.75703698,3100.269944,30,3,3.274765952,Finance,1973,LA,Q4,2019,Manager_B,Yes,External,139
11,163,,6,86.20962233,406.7088389,11,1,9.204898052,Finance,3729,LA,Q2,2022,Manager_A,No,External,130
8,153,65.38747583,17,90.78079577,2210.764953,17,1,1.829966281,Operations,2846,CHI,Q2,2022,,Yes,Internal,102
3,157,56.32131136,18,93.59569944,5950.818212,16,1,9.485999165,Operations,2371,,Q2,2020,Manager_B,No,,182
2,193,88.04037707,14,98.63138707,15311.07333,,4,5.126636853,Operations,2466,SF,Q1,2020,Manager_B,Yes,Internal,171
3,120,,6,88.16232868,,24,1,9.933629261,HR,1690,ATL,Q1,2020,Manager_B,Yes,External,129
4,85,62.85031161,11,80.4203961,4056.533713,25,3,5.856351884,Operations,1087,CHI,Q3,2020,Manager_B,Yes,External,194
5,,,6,68.27129402,4664.924687,36,,7.817393549,HR,3512,SF,Q4,2021,Manager_A,Yes,External,128
5,202,,9,59.08216183,1027.262238,32,1,,Operations,4848,ATL,Q4,2020,Manager_C,No,External,169
4,170,76.66634214,,84.3329937,5942.271017,10,2,5.47000138,Operations,1493,SF,,2022,,Yes,External,155
3,246,82.97450855,9,99.74749931,366.3966154,30,1,7.637081245,HR,,SF,Q4,,Manager_C,Yes,External,165
8,176,52.08016167,4,73.36793423,1675.166163,,2,8.04544318,IT,,LA,,2023,Manager_A,Yes,Internal,
2,230,86.07385414,17,86.1839684,5518.576645,26,1,2.422437243,,4586,,Q4,2019,Manager_B,Yes,Internal,162
,138,53.09855035,8,74.7546225,1857.566242,29,,4.770738553,Operations,2141,NY,Q3,,Manager_A,No,Internal,129
4,153,,15,71.59667117,255.6606112,31,3,4.771647623,IT,,NY,Q4,,Manager_A,Yes,External,152
5,180,91.38355678,6,70.51528068,8915.10112,37,0,1.932767276,HR,1977,SF,,2023,Manager_B,No,,145
4,171,72.56076566,9,,1857.710335,14,1,4.987409569,Operations,3234,CHI,Q2,2023,Manager_B,,Internal,108
3,165,57.45448744,4,68.34478309,325.921514,27,0,8.263836628,HR,1541,NY,Q2,2020,Manager_A,Yes,Internal,
,127,99.25169225,6,87.43866609,388.6627817,45,4,3.701626639,HR,3626,CHI,Q2,,Manager_A,No,External,162
8,84,94.4642731,,93.71360133,1450.149457,44,3,4.893170697,HR,4382,ATL,Q3,2021,Manager_C,Yes,External,
2,217,88.56568166,14,94.14426533,980.1714231,38,1,,IT,1929,NY,Q2,2019,Manager_C,Yes,,143
2,211,70.57558014,18,61.38493567,7442.745585,,2,1.285372683,HR,2402,SF,Q4,2019,Manager_A,Yes,Internal,148
2,143,59.19228634,9,,1940.710459,46,1,6.323695911,Finance,1810,LA,,2021,Manager_C,Yes,External,178
7,202,97.07055907,7,67.07756159,8165.984297,49,2,7.690924826,,1411,SF,Q1,2020,Manager_B,,External,178
6,170,76.61755633,8,65.46538327,954.8703976,,6,7.847941906,Operations,4492,CHI,,2019,Manager_A,No,External,184
7,246,92.61777302,,86.33780287,3395.029996,20,6,7.443442224,,1216,ATL,Q3,2019,,,External,
,101,67.10475029,1,65.234817,5824.35558,27,2,,Operations,3717,SF,Q1,2020,Manager_C,Yes,Internal,158
7,172,66.76441585,2,52.64832028,5277.632588,60,,1.531113991,Finance,4142,,Q2,2019,Manager_A,Yes,,177
6,167,99.27702403,12,68.68088862,4595.591252,14,3,5.807229572,IT,1829,LA,Q1,2022,Manager_A,No,External,174
4,189,76.09165242,10,86.07328002,,25,2,8.046721645,HR,2133,ATL,Q2,2021,Manager_B,,External,174
2,272,,9,66.34792101,1297.256018,15,0,1.846585441,IT,1284,NY,Q3,2019,Manager_A,No,External,183
3,172,60.9837339,14,81.4779528,3403.319159,31,2,1.108449301,Finance,3930,SF,Q2,2019,Manager_C,Yes,External,112
4,224,74.09721397,5,83.00597221,10770.50433,,2,8.331056484,HR,1769,SF,Q2,2020,Manager_B,Yes,External,129
7,171,52.12354552,0,86.68680059,405.4742018,28,2,7.410649488,IT,4673,LA,Q3,2019,,Yes,External,183
,244,73.12669927,13,94.85652332,287.5537997,10,4,,HR,2896,CHI,Q3,,Manager_A,,,142
,,,,71.62822496,1328.31336,36,4,9.463567893,HR,1568,SF,Q4,2021,Manager_C,Yes,External,150
2,160,88.96681327,10,58.32160383,5012.256258,42,2,,IT,4000,LA,Q4,2022,Manager_C,No,Internal,107
6,155,67.74709822,7,65.94628577,1504.712195,26,0,9.710748474,Operations,,CHI,Q3,2023,Manager_B,Yes,Internal,136
3,209,99.12743808,2,71.60836276,1055.08614,28,2,9.363837336,Finance,4570,NY,Q2,2021,Manager_A,No,External,196
5,140,59.03849597,13,85.69457347,3069.853304,28,0,,IT,3608,NY,Q1,2019,Manager_B,No,Internal,189
9,191,79.54933425,1,50.65610628,4754.385893,31,3,7.792380808,IT,3744,LA,Q3,,Manager_A,No,Internal,163
6,158,54.48496485,15,65.78926917,1428.804309,29,2,7.022722499,,3758,LA,Q1,2023,Manager_B,Yes,Internal,138
6,202,86.6931992,5,,1788.314207,37,1,8.303006891,Finance,1529,NY,Q4,2023,Manager_A,Yes,Internal,
,170,99.7376844,0,83.54288517,4753.884317,,2,8.08919562,IT,4269,LA,Q4,2019,Manager_B,,External,161
4,138,90.95693189,13,86.58699868,,21,3,2.37908773,HR,4578,ATL,Q3,,Manager_A,,,181
9,,77.78517704,9,90.59053847,5615.678637,26,3,,Finance,3536,SF,Q3,2023,Manager_B,No,External,
2,194,74.23706787,,89.16178594,,39,3,3.391584195,Operations,2767,ATL,Q2,2021,Manager_C,,External,113
10,176,,8,,2284.924468,15,1,8.366487033,IT,3074,CHI,Q4,2021,Manager_B,No,Internal,151
6,205,96.79870424,6,71.98307662,,10,2,8.296675335,HR,3043,LA,Q4,2023,Manager_C,Yes,Internal,181
9,79,,1,99.17991644,3028.133978,32,1,5.458018122,Finance,2141,LA,Q3,2020,Manager_B,No,Internal,156
4,305,69.82696138,10,78.45365978,8228.767793,,2,6.227490333,IT,2077,CHI,Q1,2019,Manager_C,No,Internal,120
1,181,99.54587374,13,60.13846047,3046.78498,22,2,8.442299377,Finance,1503,SF,Q2,2020,Manager_A,Yes,External,122
6,62,57.79631261,4,64.64064276,9377.621262,24,1,3.813342406,HR,3024,NY,Q3,2020,Manager_C,No,External,103
8,251,62.6774888,8,84.6781228,22446.71451,22,4,1.451608992,HR,1151,ATL,,2023,Manager_A,No,External,173
6,134,54.45080624,6,96.23697826,373.7614062,21,1,5.343367945,Finance,1736,,,2019,Manager_C,No,,142
,242,63.58692582,13,58.93600646,232.3675678,36,2,9.223454295,HR,1478,NY,Q1,2020,Manager_A,No,External,110
3,187,88.39687758,15,54.11732479,810.1817175,18,0,8.114214349,HR,4233,NY,Q2,2021,Manager_C,Yes,External,183
5,85,92.64621791,15,94.0765524,2425.543093,,0,4.299555728,Finance,2685,LA,Q2,2021,Manager_B,Yes,External,118
3,195,88.94463226,6,95.76389895,702.3036349,20,2,1.582942244,Finance,2239,CHI,Q2,2019,,No,Internal,164
3,191,,9,63.81896727,,15,0,6.732275548,Operations,3878,LA,,2020,Manager_A,No,External,194
5,,75.69832563,5,68.86428622,117.0916607,38,,8.510417163,IT,4491,CHI,Q3,2022,Manager_C,No,External,101
6,211,85.43521446,16,,1897.471805,24,2,6.984537098,Operations,2371,LA,Q4,2022,,No,External,
5,105,69.54167746,0,66.49650104,,31,0,4.825671983,Operations,2363,ATL,Q4,2019,,,External,168
3,240,92.06541757,1,93.85793541,13407.47931,14,0,2.110182519,Operations,4900,LA,Q2,2019,Manager_A,,Internal,
5,155,83.8595047,13,55.37893514,5535.455737,22,,9.196968197,Operations,1849,ATL,Q3,2022,Manager_B,Yes,External,103
3,283,84.89023492,3,51.89911105,12153.81173,37,2,3.483624932,IT,3601,,Q3,2020,Manager_B,No,Internal,
3,158,,8,60.42431034,17936.79938,55,1,3.018583328,Finance,4423,SF,Q3,2020,Manager_B,Yes,External,138
6,167,94.26144921,,64.30438891,3436.802217,10,2,8.34378999,HR,2696,LA,,,Manager_A,,External,148
5,130,62.60073668,16,55.64632956,1334.948931,,1,9.830979449,HR,4657,SF,,2019,Manager_C,No,External,102
6,150,69.05738267,10,53.28452147,1076.675498,34,2,,Finance,4976,NY,Q3,2020,Manager_C,,External,125
2,134,88.88212848,3,87.78038568,1261.052545,23,1,6.623294401,,2398,ATL,Q1,2022,Manager_A,No,External,140
,250,74.63744481,8,58.2138283,6165.177096,38,3,3.874877823,Finance,2560,CHI,Q1,2022,,Yes,Internal,164
7,100,94.46070067,15,95.69610995,206.4320123,21,0,1.183721056,,4980,ATL,Q4,2021,Manager_A,Yes,External,115
6,228,67.31996599,2,,263.6351508,31,0,2.726180792,Operations,2326,,Q2,,Manager_A,No,External,157
5,229,68.46650844,,83.53029049,4684.290773,24,1,6.259873929,Operations,2265,SF,Q4,2023,Manager_B,Yes,External,134
4,262,94.43678947,2,61.27010574,5136.909665,42,3,2.361848156,Operations,2401,SF,Q4,2023,Manager_A,No,,
3,182,73.21851601,12,62.01613842,5472.04952,23,3,8.954522262,IT,2708,NY,Q3,2019,Manager_A,No,Internal,115
3,,75.80622921,18,,2325.124256,26,,2.693302191,Operations,2412,SF,Q1,2021,Manager_A,Yes,External,
7,169,66.63818577,0,78.03214626,,39,2,5.698940077,IT,3334,LA,Q1,2022,Manager_B,Yes,Internal,130
7,215,63.83349711,5,88.4364614,3813.821817,19,3,5.608119212,HR,4230,LA,Q3,2022,Manager_B,Yes,External,121
6,185,82.79743554,2,87.89066528,557.2597654,30,3,6.435510671,IT,4425,CHI,Q3,2019,Manager_B,Yes,Internal,160
6,202,55.99203308,2,83.53438823,7975.193085,11,2,3.946906627,Finance,2753,ATL,Q2,2023,Manager_A,Yes,External,183
7,261,93.96363206,15,72.45652829,15295.2549,19,1,8.86180781,Finance,3502,ATL,Q1,2023,Manager_B,No,Internal,163
8,214,88.96015684,9,94.53201931,309.5701766,33,1,4.998713824,HR,2960,ATL,Q4,2022,Manager_A,No,Internal,169
6,191,59.53741319,16,81.12892451,2482.570443,,1,7.301382209,Operations,1626,CHI,Q4,2019,Manager_A,Yes,Internal,134
3,69,84.70099729,6,99.50992452,3342.429377,24,1,,HR,2264,CHI,Q2,2020,Manager_C,Yes,Internal,138
7,132,80.13164606,12,90.9684909,791.8773925,34,0,2.054404748,Finance,4891,CHI,Q1,2021,Manager_B,Yes,Internal,102
,155,59.22675254,10,52.21549056,10113.75421,24,3,6.603754174,Operations,,NY,Q3,2023,Manager_C,No,Internal,195
5,,63.6601753,9,66.02969535,1671.420676,38,2,5.956324102,Finance,1362,CHI,Q4,2023,Manager_C,,,112
7,113,70.44932519,6,78.59378582,7639.486404,32,3,9.087436569,HR,3645,SF,Q1,2023,Manager_B,No,Internal,113
4,163,84.96213676,5,86.07347689,5558.403782,34,,,Operations,3180,NY,Q1,,Manager_B,Yes,External,140
,173,81.93617044,0,77.51682489,4557.085915,42,2,2.358593087,HR,4851,SF,Q1,2020,,No,External,107
4,210,76.61174238,16,89.30652112,1066.850145,33,4,,Finance,2532,ATL,Q3,2021,Manager_A,,External,118
,167,88.42052716,11,,1246.818579,45,0,3.651329973,Operations,3324,LA,Q4,2023,Manager_C,Yes,,113
2,,87.89688698,3,59.19560256,242.5301476,39,0,9.87951571,Finance,2288,ATL,Q3,2022,Manager_B,Yes,External,174
6,,80.8929577,2,,1376.873465,24,3,1.194163988,Operations,3652,CHI,Q1,2023,Manager_A,,External,149
3,182,89.34950417,5,78.66568723,2118.987696,42,,7.056030156,IT,4674,LA,Q1,2021,Manager_C,No,Internal,198
6,207,66.71316874,15,84.42997603,8953.159642,,1,6.476623605,IT,1656,ATL,Q4,2021,Manager_C,Yes,Internal,160
,268,94.06247642,12,66.30748586,,26,3,6.819204524,Finance,2383,NY,Q4,2022,,,Internal,135
3,149,80.74550429,,80.67920924,7024.772575,32,0,2.964573008,HR,4735,CHI,Q3,2020,Manager_B,Yes,External,166
5,,91.11817569,10,,2894.115323,41,5,3.040456112,IT,1666,,Q3,2022,Manager_C,No,,188
3,232,77.31395524,19,,7682.52468,34,1,4.87577874,IT,,LA,,2021,Manager_B,No,Internal,
4,93,60.92191225,12,85.08773861,18705.41327,48,1,1.862720264,Operations,3812,SF,Q1,,Manager_A,Yes,Internal,179
5,299,77.12050643,18,68.40348526,1371.141956,40,3,1.671518881,Operations,3475,ATL,Q4,2023,Manager_A,Yes,Internal,191
6,250,68.55558319,2,83.56670156,9914.900559,35,2,1.795235081,Operations,3877,NY,Q2,2021,,Yes,External,144
3,77,84.8749518,11,91.58605601,4861.979057,19,4,6.156812542,Finance,4100,LA,Q4,,Manager_B,Yes,,190
3,202,73.78968959,18,92.63112187,8499.392036,28,5,4.579676712,,3642,,Q4,2020,Manager_C,,Internal,173
,146,91.80564025,7,58.60838227,5271.817853,30,0,3.642551026,,4401,SF,Q4,2022,Manager_A,No,External,181
5,156,83.90362562,13,74.31427862,2757.799806,36,0,3.842374417,Operations,1919,CHI,Q2,2022,Manager_B,No,External,171
4,201,84.22722165,8,86.69633618,1294.339027,36,1,,Finance,4105,CHI,,2022,Manager_A,Yes,,106
2,243,60.85776667,16,88.69902981,363.0428513,31,1,4.703548018,Operations,3551,CHI,Q2,2023,Manager_A,No,Internal,121
6,152,99.21248832,5,89.23379904,3834.166287,,3,2.827522623,HR,4899,LA,Q4,2020,Manager_B,No,Internal,108
,152,92.08376046,3,61.40836672,23191.61588,37,2,7.282414381,Finance,3151,SF,Q4,2021,Manager_B,,Internal,159
8,202,89.45024423,3,59.62674089,6697.851745,21,3,2.115392614,Operations,2950,,Q1,2021,Manager_B,Yes,,141
1,,66.51076126,18,79.50062341,1982.617578,46,0,,Operations,3541,ATL,Q4,,Manager_C,No,Internal,158
,119,76.78158264,11,87.05428989,8778.241006,9,2,1.808370461,HR,4442,CHI,Q2,2022,Manager_C,No,External,139
,283,56.8551594,,65.95697578,7326.341538,44,2,9.491146429,Finance,1387,LA,Q2,2019,Manager_B,Yes,External,128
5,141,76.92379883,16,55.23525784,1653.892935,29,3,8.499654744,HR,2768,CHI,,2022,Manager_B,Yes,,154
2,237,57.29446232,14,85.83731915,72.05414396,40,2,7.126409086,Finance,4308,CHI,Q3,2020,Manager_C,Yes,Internal,163
6,207,77.6518922,9,64.98489157,,33,3,9.2107149,,3782,ATL,Q1,2023,Manager_B,Yes,External,141
4,216,,2,,10490.3169,33,,2.252969142,,1904,ATL,Q3,2022,Manager_A,No,External,128
3,,69.50979836,19,57.38617642,9056.6395,35,,2.586832968,HR,4161,ATL,Q2,2021,Manager_B,Yes,Internal,191
5,76,74.92724392,,65.74547738,1749.269876,38,3,,Finance,3380,NY,Q3,2023,,No,External,120
6,178,93.78266938,0,79.6339033,1678.730486,26,,3.203303741,,1376,NY,Q1,2020,Manager_B,Yes,External,196
3,178,55.42815724,0,67.92011193,7871.922311,40,1,3.797634438,Operations,1239,LA,Q1,2019,Manager_B,Yes,Internal,162
4,122,89.58664465,,51.03309258,13881.97739,19,3,6.180678084,HR,3777,LA,Q1,2022,Manager_A,,Internal,162
8,235,58.53772755,3,54.84542173,7551.069209,29,2,1.253553502,Finance,1181,ATL,Q1,2023,Manager_B,Yes,External,189
4,176,51.83539914,14,64.52516236,4651.677967,38,2,4.440453355,Operations,2280,SF,Q2,2023,Manager_C,Yes,External,137
10,131,59.27873014,9,82.98522411,1389.789861,39,2,,HR,1743,LA,Q4,2021,Manager_C,No,Internal,178
4,215,,16,54.92575367,3730.081359,34,2,6.459668632,,4260,NY,Q2,2022,Manager_A,No,External,165
5,216,70.25630367,11,78.03284268,,26,1,9.866523979,Operations,1840,NY,Q2,2019,Manager_A,Yes,External,111
10,,93.62602584,19,55.99429354,8251.596942,38,1,5.65889151,Finance,4486,CHI,Q2,2023,Manager_C,Yes,External,132
3,254,76.23537706,,60.58076637,2446.634266,23,2,4.831167152,Operations,4927,ATL,,2021,Manager_B,Yes,External,
4,314,51.1125176,15,,8969.72579,47,4,4.314191906,IT,2278,SF,Q3,2022,Manager_C,No,Internal,100
7,114,85.83568048,4,53.36143178,2403.17344,29,3,,Operations,2068,ATL,Q1,2022,Manager_A,No,External,
5,,,15,83.56649087,8690.602688,14,0,1.647828385,HR,,NY,Q4,2019,Manager_C,Yes,External,167
10,200,89.46898167,16,73.17017737,2027.209156,18,4,9.63793463,IT,3875,SF,,2021,,No,,127
4,316,58.40512749,14,91.55267204,2900.277479,30,1,4.761260974,IT,1597,LA,Q4,2019,,No,External,161
2,,67.27231929,12,54.944542,4778.906859,31,3,3.823306532,Finance,2016,CHI,Q2,2023,Manager_B,Yes,External,177
3,123,88.06357148,7,57.23664667,364.4000153,49,3,9.766613048,Operations,1200,,Q1,2020,Manager_B,Yes,External,158
5,123,97.71156787,1,65.32288657,14802.50734,19,1,9.422909769,Finance,4430,CHI,Q1,2020,,Yes,External,148
8,253,68.57169753,7,88.29329935,4261.95488,30,2,6.777407258,Operations,1342,ATL,Q4,2019,Manager_B,Yes,Internal,
4,137,91.47001101,9,65.28794116,3544.554028,,4,1.166566374,HR,4283,SF,Q4,2019,Manager_A,,Internal,
3,128,59.53961327,6,70.42093537,9144.004692,25,4,7.736814786,Finance,1630,ATL,Q2,2020,Manager_B,Yes,External,105
8,193,90.35898851,9,65.08017831,10040.73186,,2,4.0200166,HR,1297,CHI,Q4,2023,Manager_C,,Internal,119
6,198,82.87470296,3,54.01121459,3693.447371,,0,4.494522078,HR,4226,NY,Q2,2019,Manager_B,No,Internal,
8,244,59.63717536,10,96.97168114,13104.47907,35,3,2.428679161,,1697,CHI,Q4,2023,Manager_C,No,Internal,115
3,185,,8,77.4269496,334.6416246,33,1,5.711122755,Finance,2220,NY,Q1,2023,,No,External,111
3,194,56.58854443,3,89.39165941,,29,1,7.700973366,Operations,2872,CHI,Q1,2021,Manager_B,No,External,151
,173,69.14835055,2,82.91785461,4541.466856,35,0,3.457100063,Finance,2505,ATL,,,Manager_B,No,,119
11,,60.18243206,10,,2185.288668,18,5,9.448596172,HR,3760,CHI,Q3,,Manager_C,No,Internal,157
7,168,82.19989768,2,54.48391283,3120.206462,46,4,2.752631704,IT,1929,LA,,2020,,No,Internal,144
,183,99.72525521,17,82.13667726,1988.074146,49,3,,,3825,ATL,Q3,2020,,,Internal,196
3,,50.60045815,18,57.7685178,,,4,6.79927486,IT,1378,CHI,Q1,2019,Manager_A,Yes,Internal,101
8,86,77.04599066,13,70.71915847,8648.047506,54,1,8.643868587,IT,3795,CHI,Q4,2019,Manager_A,No,,133
8,111,78.68332988,10,81.45565717,4500.564014,26,1,9.578195734,HR,1705,SF,Q3,2021,Manager_B,Yes,Internal,125
3,177,95.71043948,,89.11145002,29655.70439,,3,7.904539095,Finance,3414,ATL,Q1,2021,,No,External,132
3,235,75.30026674,1,84.25225879,7729.480638,44,2,2.796850104,Finance,2560,SF,Q1,2022,Manager_A,Yes,External,
6,280,77.18507098,1,83.57667645,1598.728323,25,1,9.798950663,Finance,1770,ATL,Q4,2019,,No,External,193
2,168,73.58264007,9,57.45211046,,16,,9.274922884,IT,2094,NY,Q4,2020,Manager_B,No,External,164
7,136,63.44521523,14,67.306427,2046.599668,13,2,2.468506805,Operations,2051,ATL,Q2,2022,Manager_A,No,Internal,107
,157,52.80145666,11,52.14561363,9265.817919,50,2,6.029072442,Finance,4464,ATL,Q4,,Manager_B,No,External,164
5,117,70.43288411,10,85.97384466,,24,0,5.999656833,HR,4594,CHI,Q1,2022,Manager_A,No,Internal,109
6,227,52.62957356,16,97.62929907,1308.001095,28,3,4.982813003,IT,,LA,Q2,2023,Manager_C,No,External,
,308,77.52462347,17,63.20551951,11765.10011,18,4,9.858531972,Operations,2141,ATL,Q2,2023,Manager_C,,External,150
10,138,65.36468216,13,54.38483546,5106.818057,39,5,1.536600135,Finance,,SF,Q4,,Manager_C,Yes,Internal,156
2,108,76.68012008,16,73.77850384,1286.392217,22,1,6.644880176,Operations,,LA,Q1,,Manager_C,Yes,Internal,139
5,240,56.71484822,14,92.83491116,1236.828826,25,,2.847732604,IT,2446,ATL,Q3,2023,,Yes,External,165
4,199,96.63149829,11,77.59870976,9924.953264,32,1,5.745980843,Operations,1092,LA,,,Manager_B,Yes,External,130
5,200,,,52.33885751,11210.1557,19,3,8.017666946,IT,3188,NY,Q1,2022,Manager_B,Yes,External,162
4,275,59.49982546,5,98.71361203,1479.452286,28,1,3.220541229,Operations,3402,LA,Q4,2023,Manager_B,No,External,
5,,67.17221416,1,91.4324955,2728.037453,44,1,4.540235918,Operations,2546,NY,Q3,2020,Manager_B,,External,155
6,96,80.67463859,,56.57970385,8996.813663,34,1,9.556912669,IT,2826,LA,Q2,2023,Manager_C,Yes,Internal,111
1,170,54.78431037,15,96.08988783,7370.328795,31,3,7.853326639,Operations,4822,LA,Q3,2022,Manager_A,No,Internal,130
3,,67.72839106,,72.53441443,8407.788335,32,3,6.154508661,,4847,SF,Q4,2023,Manager_A,Yes,,122
2,158,,7,68.59489953,3653.188142,26,1,2.99797649,Finance,4846,SF,Q1,2023,,Yes,Internal,132
5,327,,6,,12126.53549,49,2,4.827748937,Operations,2092,CHI,Q1,,Manager_C,No,,107
4,161,92.62553181,0,91.72859784,1972.266387,21,2,7.966551871,Operations,1581,LA,Q3,2022,Manager_B,No,Internal,161
7,146,78.99163706,3,82.97398391,851.9973468,32,0,8.384887703,Operations,2720,NY,Q3,2022,Manager_B,Yes,External,179
7,187,76.01731684,10,52.96242262,6167.563076,31,1,3.201455783,Finance,1882,LA,,2021,Manager_A,No,Internal,114
2,238,96.53628973,19,97.88021856,3875.63165,40,1,6.958541894,IT,1123,ATL,,2021,,No,External,140
6,136,,6,57.38920667,9640.844213,41,2,1.855026929,Finance,4490,NY,,2020,Manager_B,Yes,External,151
7,171,98.46650627,17,87.27839759,423.2122844,29,3,1.208910767,Operations,2757,ATL,Q2,2023,Manager_B,Yes,External,125
